Account_number,Ledger,Company_name,Date,Metric,Cost
10001,  Transit Webster Operating 6551,TT Intermediate Corp,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Transit Technologies LLC,06/30/2025,Actual,2238575.65
10001,  Transit Webster Operating 6551,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Ecolane Finland,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Ecolane USA,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,The Vestige Group LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,MJM Innovations LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,DispatchBot LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,TT Faster LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,ArgoTrak Inc,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Passio Tech LLC,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Tripshot,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,busHive,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Bytecurve,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Bytecurve (All),06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,Elimination Entity,06/30/2025,Actual,0.0
10001,  Transit Webster Operating 6551,All Locations,06/30/2025,Actual,2238575.65
10002,  Transit Webster Concentration 6560,TT Intermediate Corp,06/30/2025,Actual,0.0
10002,  Transit Webster Concentration 6560,Transit Technologies LLC,06/30/2025,Actual,10107841.28
10002,  Transit Webster Concentration 6560,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10002,  Transit Webster Concentration 6560,Ecolane Finland,06/30/2025,Actual,0.0
10002,  Transit Webster Concentration 6560,Ecolane USA,06/30/2025,Actual,0.0
10002,  Transit Webster Concentration 6560,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10002,  Transit Webster Concentration 6560,The Vestige Group LLC,06/30/2025,Actual,0.0
